그건 뭐 쟤네잘못은 아니고 여튼 내가보기엔 차주가 한눈팔긴 한듯 순간적으로 집중력 잃었거나 ㅇㅇ 가뜩이나 커브길인데 저런거면 이건 블박차주과실이 맞다,0
하오검둥 ㄷㄷ,0
올림픽 때 아베가 굳이 찾아와서 인사했던 것만 봐도,0
진짜 개그맨이다? 마지막까지 웃기면서 떠났지 할줄아는건 정치얘기 같이 울어요 감성팔이 레전드네;,0
남의 인생 조져 놨으면서 ㅋㅋ,0
ㅋㅋㅋㅋㅋ ㅆㅂ 빠꾸없네,2
ㄹㅇ 애새끼들은 저렇게 교육해도 모자르다 ,2
"강형욱 존나 극한직업이노ㅋㅋ
개새끼가 4마리를 동시에 훈련시켜야하네 씹ㅋㅋㅋ ",1
자칭 '정의'달고 있는 단체는 무조건 위선의 아이콘임 ㅋㅋㅋ 대리게임러 비례 1번에 앉힌 부정한 당 답다 ㅋㅋㅋ,1
드라마 얘기하는데 정치 얘기 왜 하냐? 츄레라로 씹창나는건 너다 ㅉㅉ,0
또 문재인이야???,0
그것도 축소판임 psat,0
소득주도성장은 경제적으로 정말 말이 안됩니다. 경제 성장은 이전지출을 늘린다고 되는 게 아닙니다. - 로버트 배로 하버드대 경제학과 교수,0
호두망치로 대가리 깨고싶노,1
테드 개처럼 두들겨 맞고 막댓 사수하고 댓삭 ㅋㅋㅋㅋㅋ ,0
곰탕처럼보이네ㅋㄱ ,0
호랑이명예훼손죄면 봐줄수 있는데 ㅎㅎ,0
개콘 망한 이유는 니들이 재미가 없어서 망한거야 병신들아 ㅋㅋㅋㅋㅋ,2
아니.. 왜 자유를 억압하는 거야!,0
인류역사상 가장 돌대가리인 여자들이 많은 세대 ,1
이게 남녀평등이지 ㅇㅇ,0
뷔페미니즘을 양성평등으로 속여서 세뇌시키노,0
ㄹㅇㅋㅋ 저축을 모름 ,0
20대가 미래다 ,0
흑인공주? 흑인공이 사는 주 라는 뜻인가?,0
원폭처맞았는데 그때 어케 참전하노..,0
